ORDER_NUMBER,ORDER_DATE_TIME,SKU,PRODUCT_NAME,BARCODE,QTY,PRODUCT_CAT,WEIGHT_OZ,PRODUCT_INSTRUCTIONS,IMAGES,FIRST_NAME,LAST_NAME,EMAIL,ADDRESS_1,ADDRESS_2,CITY,STATE,POSTAL_CODE,COUNTRY,SHIPPING_METHOD,ORDER_TOTAL,CUSTOMER_COMMENTS,INTERNAL_NOTES,NOTES2PACKER,TRRACKING_NO,SKU_2,BARCODE_2,
001,2014-01-10 13:12:22,R.S-CS.OFF,,,1,,,,https://cdn.shopify.com/s/files/1/0469/7993/products/RoninMain.jpg?v=1408167341,Mr Customer,L'Name,test@groovepacker.com,123 Address Ln,APT YAY,Otown,KW,12345,US,FAST,$2.00," [if shown during packing and option to show customer coments is not enabled in Settings > Scan and Pack , report issue.]"," [if shown during packing and option to show internal notes is not enabled in Settings > Scan and Pack , report issue.]",,7777777,,,
001,2014-01-10 13:12:22,R.M-CS.CONF,,,3,,,,https://cdn.shopify.com/s/files/1/0469/7993/products/AVL58.jpg?v=1408406223,Mr Customer,L'Name,test@groovepacker.com,123 Address Ln,APT YAY,Otown,KW,12345,US,FAST,$2.00,(according to the customer),The customer is always right.,,7777777,,,
001,2014-01-10 13:12:22,R.M-TIC ,,,20,,,,https://cdn.shopify.com/s/files/1/0469/7993/products/P2PropGuards.jpg?v=1401859660,Mr Customer,L'Name,test@groovepacker.com,123 Address Ln,APT YAY,Otown,KW,12345,US,FAST,$2.00,(according to the customer),The customer is always right.,,7777777,,,
001,2014-01-10 13:12:22,R.M-TIC.CONF ,,,20,,,,https://cdn.shopify.com/s/files/1/0469/7993/products/Phantom_2_Vision_-20140303_1720.jpg?v=1401848104,Mr Customer,L'Name,test@groovepacker.com,123 Address Ln,APT YAY,Otown,KW,12345,US,FAST,$2.00,(according to the customer),The customer is always right.,,7777777,,,
001,2014-01-10 13:12:22,R.M-TIC.OFF ,,,3,,,,https://cdn.shopify.com/s/files/1/0469/7993/products/Zenmuse_H3-3D-20140507_1435.jpg?v=1401945245,Mr Customer,L'Name,test@groovepacker.com,123 Address Ln,APT YAY,Otown,KW,12345,US,FAST,$2.00,(according to the customer),The customer is always right.,,7777777,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
002,2014-01-10 13:12:22,R.S ,(This txt will only show if order import overwrites product import Name or if orders are imported before products),BARCODE-ORDERCSV,1,CAT-ORDERCSV,99,"[From OrderCSV] Should create -4 inventory, Image is loaded by Product CSV",,Mr Customer,L'Name,test@groovepacker.com,123 Address Ln,APT YAY,Otown,KW,12345,US,FAST,$2.00,(according to the customer),The customer is always right.,Will be changed to a service issue before scanning occurs ,,,,
002,2014-01-10 13:12:22,R.M,,,3,,,,https://cdn.shopify.com/s/files/1/0469/7993/products/p2batterycharger.jpg?v=1411239168,Mr Customer,L'Name,test@groovepacker.com,123 Address Ln,APT YAY,Otown,KW,12345,US,FAST,$2.00,(according to the customer),The customer is always right.,Will be changed to a service issue before scanning occurs ,,,,
003,2014-01-10 13:12:22,UBN.M ,,,3,,,,https://cdn.shopify.com/s/files/1/0469/7993/products/B00JD4TQ8Q.PT01.jpg?v=1402797078,Mr Customer,L'Name,test@groovepacker.com,123 Address Ln,APT YAY,Otown,KW,12345,US,FAST,$2.00,(according to the customer),The customer is always right.,ACTION REQUIRED - Will have a new item and should be automatically set to Action Required ,,,,
004,2014-01-10 13:12:22,UBN.S ,,,1,,,,https://cdn.shopify.com/s/files/1/0469/7993/products/Inspire_1_Landed.jpg?v=1416613157,Mr Customer,L'Name,test@groovepacker.com,123 Address Ln,APT YAY,Otown,KW,12345,US,FAST,$2.00,(according to the customer),The customer is always right.,ACTION REQUIRED - Will have multiple new items and should be automatically set to Action Required ,,,,
004,2014-01-10 13:12:22,UBN.M,,,3,,,,https://cdn.shopify.com/s/files/1/0469/7993/products/B00JD4TQ8Q.PT01.jpg?v=1402797078,Mr Customer,L'Name,test@groovepacker.com,123 Address Ln,APT YAY,Otown,KW,12345,US,FAST,$2.00,(according to the customer),The customer is always right.,ACTION REQUIRED - Will have multiple new items and should be automatically set to Action Required ,,,,
005,2014-01-10 13:12:22,K.SS.M ,,,3,,,,https://cdn.shopify.com/s/files/1/0469/7993/products/Inspire_1_Main.jpg?v=1416613157,Mr Customer,L'Name,test@groovepacker.com,123 Address Ln,APT YAY,Otown,KW,12345,US,FAST,$2.00,(according to the customer),The customer is always right.,,,,,
