order_number,order_date_time,sku,product_name,barcode,qty,first_name,last_name,email,address_1,address_2,city,state,postal_code,country,customer_comments,internal_notes,tracking_num
ORDER1,2020-07-31 08:49:02,PRODUCT1,PRODUCT1,PRODUCT1,4,Alpha,Tester,,,,,,,US,,,
ORDER1,2020-07-31 08:49:02,PRODUCT2,PRODUCT2,PRODUCT2,8,Alpha,Tester,,,,,,,US,,,
ORDER4,2020-07-31 08:49:02,PRODUCT1,PRODUCT1,PRODUCT1,5,Alpha,Tester,,,,,,,US,,,
ORDER4,2020-07-31 08:49:02,PRODUCT2,PRODUCT2,PRODUCT2,2,Alpha,Tester,,,,,,,US,,,
ORDER4,2020-07-31 08:49:02,PRODUCT3,PRODUCT3,PRODUCT3,4,Alpha,Tester,,,,,,,US,,,
ORDER4,2020-07-31 08:49:02,PRODUCT4,PRODUCT4,PRODUCT4,8,Alpha,Tester,,,,,,,US,,,
ORDER2,2020-07-31 08:49:02,PRODUCT3,PRODUCT3,PRODUCT3,1,Alpha,Tester,,,,,,,US,,,
ORDER2,2020-07-31 08:49:02,PRODUCT2,PRODUCT2,PRODUCT2,2,Alpha,Tester,,,,,,,US,,,
ORDER2,2020-07-31 08:49:02,PRODUCT4,PRODUCT4,PRODUCT4,3,Alpha,Tester,,,,,,,US,,,
ORDER2,2020-07-31 08:49:02,PRODUCT5,PRODUCT5,PRODUCT5,4,Alpha,Tester,,,,,,,US,,,
ORDER2,2020-07-31 08:49:02,PRODUCT1,PRODUCT1,PRODUCT1,5,Alpha,Tester,,,,,,,US,,,
ORDER3,2020-07-31 08:49:02,PRODUCT1,PRODUCT1,PRODUCT1,7,Alpha,Tester,,,,,,,US,,,
ORDER3,2020-07-31 08:49:02,PRODUCT2,PRODUCT2,PRODUCT2,8,Alpha,Tester,,,,,,,US,,,
ORDER3,2020-07-31 08:49:02,PRODUCT4,PRODUCT4,PRODUCT4,2,Alpha,Tester,,,,,,,US,,,
